term	def
دِبلة	engagement ring, wedding ring
دَبّور	large wasp, hornet
دَبّوس،دَبابيس	pin, clip, brooch
دَح	very nice! isn't that nice!
دُخّان	smoke, tobacco
دَخل	income (money), connection (to a topic)
دَخلة	entering, consumation of marriage
دُخول	entrance, entry (the act of entering)
دَخيرة،دَخائَر	ammunition, munitions
دَخيل	protégé, one who seeks asylum
دَخيلي	inner, interior
دراس	threshing
دَرّاسة	threshing machine
دِراسة	study, studying, studies
دَرَبزين	railing
دُربَكّة،دَرابيك،دُربَكّات	darabukka (a kind of clay drum)
دُرة،ذُرة	maize, sweetcorn
دَرَج	stairs
دَرَجة،دَرَج،دَرَجات	step, stair, degree, rank
دَرَجة،دَرَج\دَرجات	stairstep
دَرَجة،دَرَجات	degree
دَردَشة	chatting, a chat
دَرزة	seam, hem
دُرزي،دُرزِيّة،دروز	Druze
دَرس،دروس	lesson, study
دَرْس،دْروس	lesson
دُرَّق	peaches
دَرَقي	thyroid
دَزّينة	dozen
دِست،دسوتة	very large saucepan, large pot, cauldron
دَستة	pile, pack, wad
دَستور	constitution (govt), permission, leave
دُش	shower (from french)
دَعارة	pornography, indecency, debauchery
دِعاية	propaganda, publicity, advertizement, promotion
دِعائي	propaganda (adj), publicity (adj), propagandist
دَعدورة	bump, bruise
دَعسة	footprint, track, pedal
دَعَم	support
دَعوة	invitation, blessing, curse
دَعوة،دَعاوي	lawsuit, claim, legal case, hearing, problem
دُغري	straight, direct, honest, straight ahead, truth
دُغْري،دُغْريّة،دُغرِيِّيْن	straightaway
دَفّاش	propeller
دِفاع	defence
دَفّاي	heater, stove
دَفّة	board, small plank, leaf (of a double door), rudder
دَفتَر،دَفاتَر	exercise book, notebook
دَفتَر،دَفاتِر	notebook
دِفتيرية	diptheria
دَفع	payment, paying
دَفعة	instalment (in a series of payments), time, occurrence
دَفْعة،دَفعات	payment
دَفن	burial
دَفيان	warm
دَقّة	a knock, a ring
دِقّة	accuracy, precision, meticulousness
دَقَّة،دَقَّات	ring, knock
دُقماق	mallet, wooden hammer
دَقْن	chin, beard
دَقن،دقون	beard, chin
دَقيق	delicate, precise, accurate, meticulous, fine
دقيقَة،دَقايِق	minute
دُكّان،دَكاكين	shop, store
دُكّان،دَكاكين	shop
دُكّانجي	shopkeeper
دُكْتُر،دُكْتورة،دَكاتْرة	doctor
دُلاب	wheel
دَلَع	pampering
دَلو	bucket, Aquarius
دَلّوع	spoilt
دَليل،أَدِلّة	guide, guidebook, instruction manual, sign, indication
دَليل،أَدِلّة	proof
دَمّ	blood
دماغ،أدمِغاء	brain
دِمّة،ذِمّة	conscience
دِمّة/ذِمّة	conscience
دَمج	absorption, incorporation, integration, assimilation
دِمَشق	Damascus
دَمعة،دموع	tear
دُمَّل	boil, abcess
دُمية،دُمة	doll, dummy, puppet
دُن،دِنين	ear
دِناري	diamonds (suit in cards)
دَنَب،دناب،أَدناب	tail, follower, supporter, henchman, hanger-on
دُنُم،	dunam (1000 square meters)
دِنيا	world
دهان	paint (oil or plastic)
دَهّان	painter
دَهَب	gold
دَهن	painting, coating, spreading
دُهُن،دُهون	oil, fat, grease
دُهنة	a piece of fat
دُهني	fatty, greasy
دهون	ointment
دَهّين	painter
دَوا،أدْوِية	medicine
دَواجَن	poultry
دُوّار	roundabout, traffic circle
دَوام	workday, working hours
دَوّام	whirlpool, cycle
دوب،يا دوب	scarcely, hardly, only just
دَوة،أدوِية	medicine, medication
دوخة	dizziness, vertigo
دود	worm
دودة	one worm
دور،أدوار	queue, line, role, part, time, turn, instance
دَوَران	turning, circling, revolution
دورة	turn, revolution, round trip, tour, procession, cycle, course
دورة،دورات	course
دَوري	circular, periodic, cyclical
دَورِيّة	patrol
دَوشة	noise, racet, commotion
دولاب،دَوَالِيْب	wheel
دَولة،دُوَل	state
دوَيري	sparrow
دِيانة	religion, religious denomination
ديب،دياب/دِئَب	wolf
دِيّة	blood money, ransom
دَير	monastery, convent
دير،ديري،ديرو	careful!
ديق	stress, trouble
دَيَّق	narrow
ديك،ديوك	cock, rooster
ديكور	stage scenery
دَين،ديون	debt, credit
دينار،دَنانير	dinar
ديوان،دَواوين	large sitting room for recieving guests, anthology of poems, tall story
ذَرّة/زَرّة	atom
ذَرّي/زَرّي	atomic
ذِهَن	mind, intellect
ذِهني	mental, intellectual
ذوق	taste in
رابطة،رَوابَط	tie, connection, union, association
رابَع،رابعة	fourth
راتَب،رَواتَب	salary
راجِع،راجْعة،راجْعين	returning (act)
راحة	rest, turkish delight
راحَل،رُحّال	nomadic, late, deceased
رادَع،رادعة	deterrent
راديو	radio
راس	head
راس،روس	head
راس،روس	head
رأَساً	directly, immediately, straight, straight away
راسي	anchored
راشَد	adult, grown-up, not a minor
راصَد،رُصّاد	watcher, observer
راضي	satisfied, pleased
راضي،راضْية،راضين	satisfied
راعي،رُعيان	shepherd
رافعة	crane
راقة	coat (of paint etc)
راقي	superior, top-quality, high grade, high class, advanced, refined
راكِب راكْبة،رُكّاب	rider
راكَب،رُكّاب	riding, rider, travelling, passenger
راكَد	calm
راكَز	stable (mentally or physically), settled
راكَع	kneeling
رامي،رامْية،رامْيين	thrower
راهَب،رُهبان	monk
راهبة	nun
رأَي،أَراء	opinion
رَأي،أراء	opinion
رايَب	off, sour, curdled (of milk)
رايَج	in demand, selling like hotcakes
رايَج/رائَج	in demand, selling well
رايِح،رايِحة،رايِحين	going (act)
رائَد،رُوّاد	leader, explorer, major (mil)
رائَع،رائعة	wonderful, splendid, magnificent
رُبّ	purée, puree
رَبّ،أَرباب	master, lord, owner, proprietor, Lord, God
رَباح	gain
رَبّاط	shoelace(s)
رِباط	bond
رِباعي	quadrilateral, having four root letters
رَبّة	mistress, (female) owner, proprietress
رِبَح،أَرباح	gain, profit
رَبحان	gainer, winner
رَبطة،رَبطات	knot, tie, necktie, armband, bandage
رُبُع/رُبَع،رباع	quarter
رُبَّعِيّة	check, square
رُبَّما	perhaps, it's possible that
رَبوح،رَوابيح	large plane (carpentry)
رَبيع	Spring
رُتبة،رُتَب	rank
رَتَل	column, convoy
رَجاء	hope, request
رُجّال،رجال	man (again)
رَجَب	seventh month in the Muslim year
رَجعة	return (noun)
رِجَل،رِجليْن،أَرجُل	foot, leg
رَجُل/رُجّال،رجال/رِجال	man
رُجوع	return, coming back
رُجولة	masculinity, manliness, manhood
رِجيم	diet (from French)
رِحلة،رِحَل	excursion, trip, tour
رَحَم	womb, uterus
رَحمان	merciful
رَحمة	mercy
رَحيم	compassionate
رَخاوة	softness, flabbiness
رِخصة،رُخَص	license, permit (noun)
رُخْصَة،رُخَص	license
رَخو	(too) soft, slack, loose, flabby
رْخيص،رْخيصة،رْخاص	cheap
رَدّ،رُدود	return, reply
رَدٍئ،رَدٍئة،أَردِياء	bad, evil, wicked, bad, poor (as in not good)
رَدييْتَر	radiator
رُزّ	rice
رَزالة/رَذالة	baseness, despicable behaviour, depravity, a disgusting way to behave
رِزَق	livelihood, a living, daily bread
رُزنامة	calendar
رَزيل/رَذيل،أَرزال/رُزَلاء/رُزّال	despicable, contemptible, nasty, depraved
رِسالة،رِسائَل	letter, message, mission, vocation, assignment
رِسالة،رَسايل	letter, message
رَسّام	painter, artist
رَسَم	drawing
رَسَم،رُسوم	fee, due
رَسمال	capital, purchase price(?)
رَسمالي	capital- (adj), capitalist
رَسمة،رُسومات	drawing, sketch
رَسمي	formal, official
رَسَن،رسان	halter (something you put on horses??)
رُسوب	sediment, dregs, precipitation, failure
رَسول،رُسُل	messenger, envoy, emissary, apostle (usually religious)
رَشّاش	machine gun, submachine gun, sprinkler (irrigation)
رَشّاق	whitewasher
رَشّة	pile
رَشّة	a spray
رُشَتّة/رُشيْتة/رُشّيْتة	prescription
رَشَح	cold, chill, the cold
رَشِح،رْشُوحات	cold, sniffles
رَشَّحوه	they nominated him
رُشد	maturity, majority, full legal age
رَشَق	whitewashing
رَشوة،رَشاوي	bribe
رصاص	lead, bullets
رصاصة	bullet (piece of lead)
رَصيد	balance (bank), funds
رَصيف،أرْصِفة	pavement, sidewalk, platform
رَصيف،أَرصِفة	pavement, sidewalk, platform, quay
رِضاء	satisfaction, contentment, approval, agreement, consent
رَضّة	bruise
رُطَب،رُطبة	damp (adj)
رَطُل/رُطُل،أَرطال/أَرطُل	a unit of weight equivalent to 3 kilos (Jerusalem)
رطوبة	damp, dampness
رَعبون	deposit, pledge, earnest money
رَعد	thunder
رعِيّة	itch
رَغبة	wish, desire
رَغَم،بِاْلْرَّغَم مِن	despite, in spite of
رَغوة	foam, froth, lather
رغيف،أَرغِفة/أَرِغفة	loaf
رَفّ،رفوف	shelf
رَفّاص	spring (in mattress etc)
رَفاهِيّة	luxury, comfort, ease
رَفض	refusal, rejection
رَفيع،رفاع	thin, slender, slim, narrow (usually round but not flat), high pitched
رْفيع،رْفيعة،رْفاع	thin (round & long), slender, slim, skinny
رفيق،رُفَقاء/رِفقات	friend, companion
رَقابة	supervision, control, censorship
رَقَبة	neck
رَقص/رَقصة،رَقصات	dance, dancing
رُقطِيّة،رُقطِي/رُقاطي	turtle dove
رُقعة،رُقَع	patch, a type of Arabic script (often handwriting)
رَقَم،أَرقام	number, digit
رَقيب،رُقَباء	sergeant
رَقيق	delicate
رقيق،رقاق	thin, fine (of flat object)
رَْقيق،رَْقيقة،رْقاق	thin (flat), delicate, fine, sensitive, gentle
رَكّ	burden, onus, responsibility
ركاض	running
رُكبة،رُكَب/ركاب	knee
رَكَت	raquet
رَكض	running
رَكعة	prostration, kneeling
رُكُن،أَركان	pillar, prop, base
ركوب	riding
رَماد	ash, ashes
رَمادي	grey
رُمّانة،رُمّان	pomegranate(s)
رُمبيل	a ball bearing (from french)
رَمز،رُموز	symbol, sign, emblem, character (script)
رَمزي	symbolic, token-
رَمش،رموش	eyelash
رَمشة	blinking, blink
رَمَضان	the ninth month of the Muslim year
رَمَل	sand
رَمي	throwing, shooting
رَمياً	by shooting, by throwing
رَنّان	resonant
رَنّة	echo, ringing, repercussions
رُنجُس	Narcissus
رُندَلّا	washer (from french)
رَهبانة	monastic/religious order
رَهَن	pledge
رَهنِيّة	mortgage, pledge
رَهينة،رَهائَن	hostage
رَواج	saleability, demand, call, sales
رَواق	peace, quiet, tranquility
رِواية	novel, story, play, version
رِواية،رِوايات	novel, story
روح،أَرواح	spirit, soul
روحاني	spiritual, alcoholic
روحة	departure
رَوَّحَت	she had an abortion (in some areas)
روداج	running-in (of car) (from french)
روسي،روس	Russian
روسيا	Russia
رَوضة،رِياض	garden
روماني،رومان	Roman
رومي،روم	Greek Orthodox
رُؤية	visibility
رَيّ	irrigation
رِئاسة	presidency
رِياضي	sport-related, athlete, sportsman, mathematical, mathematician
رِياضِيّات	math, mathematics
رِيالة	drool, slobber
رِيّة	lung (again)
رِئة،رِئات	lung
ريح،رياح/أَرياح	wind
ريحا،أَريحا	Jericho
ريحان	sweet basil, basil
ريحاوي،رِحاوِيّة	of Jericho
ريحة،رَوايَح	smell, scent
رَيَّس،رَيّسة	head, superior (of monastery etc)
ريش	feathers
ريشة،رِياش	feather, nib (of pen), drill bit, blade of a (carpenter's) plane
ريق	saliva
ريْقان	hepatitis, jaundice
رَئيسي	main, principal
زات	self
زاف	edge (of fabric)
زاكي،أَزكاء	tasty
زاني	adulterer
زانية،زَواني/زانِيات	adultress
زاوية،زَوايا	angle, corner, column (newspaper), selection (newspaper), supplement (newspaper)
زائَد	increasing, more, plus
زايدة	appendix
زائَر،زُوّار	guest. visitor
زائِر،زائِرة،زُوّار	visitor
زَبّال	garbage collector
زبالة	garbage, rubbish, trash, refuse
زِبدة	butter
زَبور	the Book of Psalms
زبون،زَبايَن	client, customer
زبيب	raisins (coll)
زَتونة/حَبَّةْ زيْنون	an olive
زُجاج	glass (formal)
زُجاجي،زُجاجِيّة	glazier, glass- (adj)
زَحلِفة	some kind of lizard
زَحلوقة،زَحاليق	slippery area (usually plural)
زَحمان	busting, really needing to use a bathroom
زَحمة	overcrowding, crush, pressure, crowd
زَحْمة،زَحْمات	crowd, overcrowding, crush
زَخّة	[sudden and heavy] shower/rain
زَخرَفة،زَخارَف	decoration, ornamentation
زِدلاوي	left handed
زِرّ،زْرَار	button
زَرّ/زِرّ،زرار	button, knob, a single item of certain types of vegetable
زَرادة	link, disc (spine)
زِراعة	agriculture
زِراعي	agricultural
زَرافة	giraffe
زَرَدِيّة	pliers
زَرَع	sowing, planting, transplant
زَرَع،بيِزرَع	(plants) to sow, plant, to transplant (organs)
زَرفيل،زَرافيل	lock (in Jerusalem)
زَرَق جُوّا	he snuck inside
زَرَق لَبَرّا	he snuck outside
زريبة،زَرايَب	pen, corral
